kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3277,KOTA CIMAHI,MINUMAN,2934.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,JASA/LAINNYA,6833.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,AKSESORIS,225.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,BATIK,225.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,BORDIR,32.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,CRAFT,8044.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,FASHION,7851.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,KONVEKSI,4794.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,KULINER,34620.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,MAKANAN,25322.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,MINUMAN,4698.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,JASA/LAINNYA,10940.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,AKSESORIS,64.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,BATIK,64.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,BORDIR,9.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,CRAFT,2286.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,FASHION,2231.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,KONVEKSI,1363.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,KULINER,9840.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,MAKANAN,7197.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,MINUMAN,1335.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,JASA/LAINNYA,3109.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,984.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,984.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,141.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,35159.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,34315.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,20955.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,151325.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,110681.0,UNIT,2018
